Altium Designer Pick and Place Locations
H:\04_work\projects\67.HIC-NAOMI\LandPlate\Project Outputs for LandPlate\Gerber Files\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       10/10/19
Time:       20:15
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"P?1_6_7","Comment","TopLayer","POGO_LANDPAD","14800.000","1200.000","180",""
"P?_21","Comment","TopLayer","POGO_LANDPAD","4400.000","1200.000","180",""
"P?1_21","Comment","TopLayer","POGO_LANDPAD","5200.000","1200.000","180",""
"P?1_1_7","Comment","TopLayer","POGO_LANDPAD","6800.000","1200.000","180",""
"P?_1_7","Comment","TopLayer","POGO_LANDPAD","6000.000","1200.000","180",""
"P?1_2_7","Comment","TopLayer","POGO_LANDPAD","8400.000","1200.000","180",""
"P?_2_7","Comment","TopLayer","POGO_LANDPAD","7600.000","1200.000","180",""
"P?1_3_7","Comment","TopLayer","POGO_LANDPAD","10000.000","1200.000","180",""
"P?_3_7","Comment","TopLayer","POGO_LANDPAD","9200.000","1200.000","180",""
"P?1_4_7","Comment","TopLayer","POGO_LANDPAD","11600.000","1200.000","180",""
"P?_4_7","Comment","TopLayer","POGO_LANDPAD","10800.000","1200.000","180",""
"P?1_5_7","Comment","TopLayer","POGO_LANDPAD","13200.000","1200.000","180",""
"P?_5_7","Comment","TopLayer","POGO_LANDPAD","12400.000","1200.000","180",""
"P?_6_7","Comment","TopLayer","POGO_LANDPAD","14000.000","1200.000","180",""
"P?1_7_7","Comment","TopLayer","POGO_LANDPAD","15600.000","1200.000","360",""
"P?_20","Comment","TopLayer","POGO_LANDPAD","4400.000","2800.000","180",""
"P?1_20","Comment","TopLayer","POGO_LANDPAD","5200.000","2800.000","180",""
"P?1_1_6","Comment","TopLayer","POGO_LANDPAD","6800.000","2800.000","180",""
"P?_1_6","Comment","TopLayer","POGO_LANDPAD","6000.000","2800.000","180",""
"P?1_2_6","Comment","TopLayer","POGO_LANDPAD","8400.000","2800.000","180",""
"P?_2_6","Comment","TopLayer","POGO_LANDPAD","7600.000","2800.000","180",""
"P?1_3_6","Comment","TopLayer","POGO_LANDPAD","10000.000","2800.000","180",""
"P?_3_6","Comment","TopLayer","POGO_LANDPAD","9200.000","2800.000","180",""
"P?1_4_6","Comment","TopLayer","POGO_LANDPAD","11600.000","2800.000","180",""
"P?_4_6","Comment","TopLayer","POGO_LANDPAD","10800.000","2800.000","180",""
"P?1_5_6","Comment","TopLayer","POGO_LANDPAD","13200.000","2800.000","180",""
"P?_5_6","Comment","TopLayer","POGO_LANDPAD","12400.000","2800.000","180",""
"P?1_6_6","Comment","TopLayer","POGO_LANDPAD","14800.000","2800.000","180",""
"P?_6_6","Comment","TopLayer","POGO_LANDPAD","14000.000","2800.000","180",""
"P?1_7_6","Comment","TopLayer","POGO_LANDPAD","15600.000","2800.000","360",""
"P?_7_6","Comment","TopLayer","POGO_LANDPAD","15600.000","2000.000","360",""
"P?1_8_6","Comment","TopLayer","POGO_LANDPAD","14800.000","2000.000","180",""
"P?_8_6","Comment","TopLayer","POGO_LANDPAD","14000.000","2000.000","180",""
"P?1_9_6","Comment","TopLayer","POGO_LANDPAD","13200.000","2000.000","180",""
"P?_9_6","Comment","TopLayer","POGO_LANDPAD","12400.000","2000.000","180",""
"P?1_10_6","Comment","TopLayer","POGO_LANDPAD","11600.000","2000.000","180",""
"P?_10_6","Comment","TopLayer","POGO_LANDPAD","10800.000","2000.000","180",""
"P?1_11_6","Comment","TopLayer","POGO_LANDPAD","10000.000","2000.000","180",""
"P?_11_6","Comment","TopLayer","POGO_LANDPAD","9200.000","2000.000","180",""
"P?1_12_6","Comment","TopLayer","POGO_LANDPAD","8400.000","2000.000","180",""
"P?_12_6","Comment","TopLayer","POGO_LANDPAD","7600.000","2000.000","180",""
"P?1_13_6","Comment","TopLayer","POGO_LANDPAD","6800.000","2000.000","180",""
"P?_13_6","Comment","TopLayer","POGO_LANDPAD","6000.000","2000.000","180",""
"P?1_14_6","Comment","TopLayer","POGO_LANDPAD","5200.000","2000.000","180",""
"P?_14_6","Comment","TopLayer","POGO_LANDPAD","4400.000","2000.000","180",""
"P?_19","Comment","TopLayer","POGO_LANDPAD","4400.000","4400.000","180",""
"P?1_19","Comment","TopLayer","POGO_LANDPAD","5200.000","4400.000","180",""
"P?1_1_5","Comment","TopLayer","POGO_LANDPAD","6800.000","4400.000","180",""
"P?_1_5","Comment","TopLayer","POGO_LANDPAD","6000.000","4400.000","180",""
"P?1_2_5","Comment","TopLayer","POGO_LANDPAD","8400.000","4400.000","180",""
"P?_2_5","Comment","TopLayer","POGO_LANDPAD","7600.000","4400.000","180",""
"P?1_3_5","Comment","TopLayer","POGO_LANDPAD","10000.000","4400.000","180",""
"P?_3_5","Comment","TopLayer","POGO_LANDPAD","9200.000","4400.000","180",""
"P?1_4_5","Comment","TopLayer","POGO_LANDPAD","11600.000","4400.000","180",""
"P?_4_5","Comment","TopLayer","POGO_LANDPAD","10800.000","4400.000","180",""
"P?1_5_5","Comment","TopLayer","POGO_LANDPAD","13200.000","4400.000","180",""
"P?_5_5","Comment","TopLayer","POGO_LANDPAD","12400.000","4400.000","180",""
"P?1_6_5","Comment","TopLayer","POGO_LANDPAD","14800.000","4400.000","180",""
"P?_6_5","Comment","TopLayer","POGO_LANDPAD","14000.000","4400.000","180",""
"P?1_7_5","Comment","TopLayer","POGO_LANDPAD","15600.000","4400.000","360",""
"P?_7_5","Comment","TopLayer","POGO_LANDPAD","15600.000","3600.000","360",""
"P?1_8_5","Comment","TopLayer","POGO_LANDPAD","14800.000","3600.000","180",""
"P?_8_5","Comment","TopLayer","POGO_LANDPAD","14000.000","3600.000","180",""
"P?1_9_5","Comment","TopLayer","POGO_LANDPAD","13200.000","3600.000","180",""
